date_time,temp
01/01/18,16.222
02/01/18,18.146
03/01/18,19.002
04/01/18,19.279
05/01/18,19.494
06/01/18,20.894
07/01/18,20.121
08/01/18,20.113
09/01/18,19.459
10/01/18,19.543
11/01/18,18.988
12/01/18,19.463
13/01/18,20.031
14/01/18,20.435
15/01/18,21.252
16/01/18,20.448
17/01/18,20.343
18/01/18,20.144
19/01/18,21.056
20/01/18,20.66
21/01/18,20.928
22/01/18,21.538
23/01/18,20.747
24/01/18,20.002
25/01/18,20.095
26/01/18,19.61
27/01/18,19.815
28/01/18,19.427
29/01/18,20.483
30/01/18,20.25
31/01/18,19.912
01/02/18,20.92
02/02/18,19.5
03/02/18,20.667
04/02/18,20.69
05/02/18,20.271
06/02/18,20.512
07/02/18,20.067
08/02/18,20.868
09/02/18,21.331
14/02/18,21.836
15/02/18,21.149
16/02/18,20.328
17/02/18,21.294
01/03/18,21.452
02/03/18,21.702
03/03/18,22.254
04/03/18,22.315
05/03/18,22.08
06/03/18,22.078
07/03/18,22.296
27/07/18,31.028
28/07/18,29.892
29/07/18,28.819
30/07/18,27.09
31/07/18,28.42
01/08/18,27.786
02/08/18,27.806
03/08/18,29.791
04/08/18,28.809
05/08/18,28.317
06/08/18,29.049
07/08/18,29.116
08/08/18,28.059
27/08/18,29.182
28/08/18,28.822
29/08/18,28.834
30/08/18,27.999
